filename,notes,authors,licenses,url1,url2,url3,url4,url5,status
facial/male/beard/white.png,,"JaidynReiman, Nemisys","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-brunet-mustache,,,,,OK
facial/male/bigstache,,"JaidynReiman, pennomi",,https://opengameart.org/content/lpc-base-character-expressions,,,,,
facial/male/bigstache/black.png,,"JaidynReiman, pennomi","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-base-character-expressions,,,,,OK
facial/male/bigstache/blonde.png,,"JaidynReiman, pennomi","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-base-character-expressions,,,,,OK
facial/male/bigstache/blonde2.png,,"JaidynReiman, pennomi","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-base-character-expressions,,,,,OK
facial/male/bigstache/blue.png,,"JaidynReiman, pennomi","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-base-character-expressions,,,,,OK
facial/male/bigstache/blue2.png,,"JaidynReiman, pennomi","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-base-character-expressions,,,,,OK
facial/male/bigstache/brown.png,,"JaidynReiman, pennomi","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-base-character-expressions,,,,,OK
facial/male/bigstache/brown2.png,,"JaidynReiman, pennomi","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-base-character-expressions,,,,,OK
facial/male/bigstache/brunette.png,,"JaidynReiman, pennomi","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-base-character-expressions,,,,,OK
facial/male/bigstache/brunette2.png,,"JaidynReiman, pennomi","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-base-character-expressions,,,,,OK
facial/male/bigstache/dark-blonde.png,,"JaidynReiman, pennomi","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-base-character-expressions,,,,,OK
facial/male/bigstache/gold.png,,"JaidynReiman, pennomi","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-base-character-expressions,,,,,OK
facial/male/bigstache/gray.png,,"JaidynReiman, pennomi","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-base-character-expressions,,,,,OK
facial/male/bigstache/gray2.png,,"JaidynReiman, pennomi","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-base-character-expressions,,,,,OK
facial/male/bigstache/green.png,,"JaidynReiman, pennomi","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-base-character-expressions,,,,,OK
facial/male/bigstache/green2.png,,"JaidynReiman, pennomi","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-base-character-expressions,,,,,OK
facial/male/bigstache/light-blonde.png,,"JaidynReiman, pennomi","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-base-character-expressions,,,,,OK
facial/male/bigstache/light-blonde2.png,,"JaidynReiman, pennomi","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-base-character-expressions,,,,,OK
facial/male/bigstache/pink.png,,"JaidynReiman, pennomi","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-base-character-expressions,,,,,OK
facial/male/bigstache/pink2.png,,"JaidynReiman, pennomi","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-base-character-expressions,,,,,OK
facial/male/bigstache/purple.png,,"JaidynReiman, pennomi","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-base-character-expressions,,,,,OK
facial/male/bigstache/raven.png,,"JaidynReiman, pennomi","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-base-character-expressions,,,,,OK
facial/male/bigstache/raven2.png,,"JaidynReiman, pennomi","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-base-character-expressions,,,,,OK
facial/male/bigstache/redhead.png,,"JaidynReiman, pennomi","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-base-character-expressions,,,,,OK
facial/male/bigstache/redhead2.png,,"JaidynReiman, pennomi","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-base-character-expressions,,,,,OK
facial/male/bigstache/ruby-red.png,,"JaidynReiman, pennomi","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-base-character-expressions,,,,,OK
facial/male/bigstache/white-blonde.png,,"JaidynReiman, pennomi","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-base-character-expressions,,,,,OK
facial/male/bigstache/white-blonde2.png,,"JaidynReiman, pennomi","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-base-character-expressions,,,,,OK
facial/male/bigstache/white-cyan.png,,"JaidynReiman, pennomi","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-base-character-expressions,,,,,OK
facial/male/bigstache/white.png,,"JaidynReiman, pennomi","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-base-character-expressions,,,,,OK
facial/male/mustache,,"JaidynReiman, Nemisys",,https://opengameart.org/content/lpc-brunet-mustache,,,,,
facial/male/mustache/black.png,,"JaidynReiman, Nemisys","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-brunet-mustache,,,,,OK
facial/male/mustache/blonde.png,,"JaidynReiman, Nemisys","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-brunet-mustache,,,,,OK
facial/male/mustache/blonde2.png,,"JaidynReiman, Nemisys","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-brunet-mustache,,,,,OK
facial/male/mustache/blue.png,,"JaidynReiman, Nemisys","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-brunet-mustache,,,,,OK
facial/male/mustache/blue2.png,,"JaidynReiman, Nemisys","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-brunet-mustache,,,,,OK
